Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2076,DROUGHT: Low Severity [Type],10751.87451,Normal,Iteration and Timestep,5375.937257
2077,DROUGHT: Low Severity [Type],5548.958702,Normal,Iteration and Timestep,2774.479351
2078,DROUGHT: Low Severity [Type],5790.771665,Normal,Iteration and Timestep,2895.385832
2079,DROUGHT: Low Severity [Type],5569.620495,Normal,Iteration and Timestep,2784.810248
2080,DROUGHT: Low Severity [Type],3846.984587,Normal,Iteration and Timestep,1923.492293
2081,DROUGHT: Low Severity [Type],2530.146523,Normal,Iteration and Timestep,1265.073262
2082,DROUGHT: Low Severity [Type],4425.097182,Normal,Iteration and Timestep,2212.548591
2083,DROUGHT: Low Severity [Type],3570.693651,Normal,Iteration and Timestep,1785.346825
2084,DROUGHT: Low Severity [Type],2797.117678,Normal,Iteration and Timestep,1398.558839
2085,DROUGHT: Low Severity [Type],3916.864818,Normal,Iteration and Timestep,1958.432409
2086,DROUGHT: Low Severity [Type],3424.650675,Normal,Iteration and Timestep,1712.325337
2087,DROUGHT: Low Severity [Type],3403.020963,Normal,Iteration and Timestep,1701.510482
2088,DROUGHT: Low Severity [Type],2682.237732,Normal,Iteration and Timestep,1341.118866
2089,DROUGHT: Low Severity [Type],2915.485103,Normal,Iteration and Timestep,1457.742551
2090,DROUGHT: Low Severity [Type],2982.702766,Normal,Iteration and Timestep,1491.351383
2091,DROUGHT: Low Severity [Type],7281.946643,Normal,Iteration and Timestep,3640.973322
2092,DROUGHT: Low Severity [Type],8924.810312,Normal,Iteration and Timestep,4462.405156
2093,DROUGHT: Low Severity [Type],8724.081963,Normal,Iteration and Timestep,4362.040981
2094,DROUGHT: Low Severity [Type],9715.472218,Normal,Iteration and Timestep,4857.736109
2095,DROUGHT: Low Severity [Type],10130.4702,Normal,Iteration and Timestep,5065.235099
2096,DROUGHT: Low Severity [Type],9493.57597,Normal,Iteration and Timestep,4746.787985
2097,DROUGHT: Low Severity [Type],6468.706895,Normal,Iteration and Timestep,3234.353447
2098,DROUGHT: Low Severity [Type],7108.099464,Normal,Iteration and Timestep,3554.049732
2099,DROUGHT: Low Severity [Type],6886.302843,Normal,Iteration and Timestep,3443.151422
2100,DROUGHT: Low Severity [Type],7833.579531,Normal,Iteration and Timestep,3916.789765
