Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2017,,Mono,,URBANIZATION,0,,,,,
,2017,,Monterey,,URBANIZATION,3.8055,,,,,
,2017,,Napa,,URBANIZATION,0.924,,,,,
,2017,,Nevada,,URBANIZATION,0,,,,,
,2017,,Orange,,URBANIZATION,10.7987,,,,,
,2017,,Placer,,URBANIZATION,3.3749,,,,,
,2017,,Plumas,,URBANIZATION,0.0468,,,,,
,2017,,Riverside,,URBANIZATION,23.9324,,,,,
,2017,,Sacramento,,URBANIZATION,9.6216,,,,,
,2017,,San Benito,,URBANIZATION,0.5888,,,,,
,2017,,San Bernardino,,URBANIZATION,15.0495,,,,,
,2017,,San Diego,,URBANIZATION,17.5495,,,,,
,2017,,San Francisco,,URBANIZATION,1.4771,,,,,
,2017,,San Joaquin,,URBANIZATION,6.7276,,,,,
,2017,,San Luis Obispo,,URBANIZATION,2.2016,,,,,
,2017,,San Mateo,,URBANIZATION,2.8227,,,,,
,2017,,Santa Barbara,,URBANIZATION,2.4292,,,,,
,2017,,Santa Clara,,URBANIZATION,10.006,,,,,
,2017,,Santa Cruz,,URBANIZATION,1.442,,,,,
,2017,,Shasta,,URBANIZATION,0.3584,,,,,
,2017,,Sierra Valley,,URBANIZATION,0,,,,,
,2017,,Siskiyou,,URBANIZATION,0.0043,,,,,
,2017,,Solano,,URBANIZATION,1.9768,,,,,
,2017,,Sonoma,,URBANIZATION,2.1229,,,,,
,2017,,Stanislaus,,URBANIZATION,3.0448,,,,,
,2017,,Sutter,,URBANIZATION,0.4959,,,,,
,2017,,Tehama,,URBANIZATION,0.2013,,,,,
,2017,,Trinity,,URBANIZATION,0.0038,,,,,
,2017,,Tulare,,URBANIZATION,2.0436,,,,,
,2017,,Tuolumne,,URBANIZATION,0.0282,,,,,
,2017,,Ventura,,URBANIZATION,2.8948,,,,,
,2017,,Yolo,,URBANIZATION,1.8554,,,,,
,2017,,Yuba,,URBANIZATION,0.3501,,,,,
,2018,,Alameda,,URBANIZATION,9.1387,,,,,
,2018,,Alpine,,URBANIZATION,0.0037,,,,,
,2018,,Amador,,URBANIZATION,0.0742,,,,,
,2018,,Butte,,URBANIZATION,1.029,,,,,
,2018,,Calaveras,,URBANIZATION,0.0306,,,,,
,2018,,Colusa,,URBANIZATION,0.1667,,,,,
,2018,,Contra Costa,,URBANIZATION,8.2999,,,,,
,2018,,Del Norte,,URBANIZATION,0.0789,,,,,
