Timestep,StockGroup,LULC,Mean,Lower,Upper
2016,Live,Developed,0.3,0.3,0.3
2016,Live,Forest,1481,1451.7,1504.5
2016,Live,Grassland,14,8.3,17.9
2016,Live,Shrubland,100.9,95,108
2016,Live,SnowIce,0,0,0
2016,Live,Water,0,0,0
2016,Live,Wetland,0.1,0.1,0.1
2016,Soil,Agriculture,386.9,384.6,389.4
2016,Soil,Barren,0,0,0
2016,Soil,Developed,11.5,10.4,12.5
2016,Soil,Forest,1504.4,1503.6,1505.3
2016,Soil,Grassland,345,343,346.9
2016,Soil,Shrubland,338.8,338.1,339.8
2016,Soil,SnowIce,0,0,0
2016,Soil,Water,0,0,0
2016,Soil,Wetland,2.1,1.6,2.7
2017,DOM,Agriculture,12,9.9,13.4
2017,DOM,Barren,0,0,0
2017,DOM,Developed,0,0,0
2017,DOM,Forest,377.4,367.5,408.6
2017,DOM,Grassland,11.2,8.6,13
2017,DOM,Shrubland,24.7,24,25.4
2017,DOM,SnowIce,0,0,0
2017,DOM,Water,0,0,0
2017,DOM,Wetland,0.1,0,0.1
2017,Live,Agriculture,51.5,42.2,62.3
2017,Live,Barren,0,0,0
2017,Live,Developed,0.3,0.3,0.4
2017,Live,Forest,1459.5,1419.1,1488.7
2017,Live,Grassland,10,5.8,15.4
2017,Live,Shrubland,100.1,91.7,106.9
2017,Live,SnowIce,0,0,0
2017,Live,Water,0,0,0
2017,Live,Wetland,0.1,0.1,0.1
2017,Soil,Agriculture,384.7,381.5,388.1
2017,Soil,Barren,0,0,0
2017,Soil,Developed,12.3,11,13.3
2017,Soil,Forest,1502.1,1500.9,1503.3
2017,Soil,Grassland,343.8,340.5,346.4
2017,Soil,Shrubland,337.8,336.9,338.9
2017,Soil,SnowIce,0,0,0
2017,Soil,Water,0,0,0
2017,Soil,Wetland,2.2,1.7,2.8
2018,DOM,Agriculture,11.8,9.2,14.5
2018,DOM,Barren,0,0,0
2018,DOM,Developed,0,0,0
2018,DOM,Forest,382.7,368.8,422.5
2018,DOM,Grassland,10.6,8.2,13.8
2018,DOM,Shrubland,24.8,23.3,26
2018,DOM,SnowIce,0,0,0
2018,DOM,Water,0,0,0
2018,DOM,Wetland,0.1,0,0.1
2018,Live,Agriculture,54.3,47.7,69.9
2018,Live,Barren,0,0,0
2018,Live,Developed,0.3,0.3,0.4
2018,Live,Forest,1454.8,1423,1486.3
2018,Live,Grassland,12.5,8.9,17.5
2018,Live,Shrubland,102.2,95,112.4
2018,Live,SnowIce,0,0,0
2018,Live,Water,0,0,0
2018,Live,Wetland,0.1,0.1,0.1
2018,Soil,Agriculture,382.2,377.8,386.6
2018,Soil,Barren,0,0,0
2018,Soil,Developed,13.1,11.7,14.3
2018,Soil,Forest,1500.5,1498.9,1502.3
2018,Soil,Grassland,342.1,337.7,345.9
2018,Soil,Shrubland,336.7,335.6,338.1
2018,Soil,SnowIce,0,0,0
2018,Soil,Water,0,0,0
2018,Soil,Wetland,2.3,1.8,3
2019,DOM,Agriculture,12.3,10.6,16.2
2019,DOM,Barren,0,0,0
2019,DOM,Developed,0,0,0
2019,DOM,Forest,396.1,368.4,489.5
2019,DOM,Grassland,11.7,9.7,15.9
2019,DOM,Shrubland,25.1,23.1,27
