LUC,GCM,RCP,CFE,CFERate,Timestep,Mean,Lower,Upper
BAU,CanESM2,rcp45,MedHigh,0.001091107,2054,4700.571322610722,4664.481721025455,4726.296033904211
BAU,CanESM2,rcp45,MedHigh,0.001091107,2055,4754.132738064786,4717.311460396534,4780.323906158181
BAU,CanESM2,rcp45,MedHigh,0.001091107,2056,4809.999010064228,4769.809322694237,4835.018168736663
BAU,CanESM2,rcp45,MedHigh,0.001091107,2057,4774.316645194629,4739.167295479899,4799.017951337262
BAU,CanESM2,rcp45,MedHigh,0.001091107,2058,4786.876264376204,4749.1185909108035,4807.891298547254
BAU,CanESM2,rcp45,MedHigh,0.001091107,2059,4740.582709225041,4702.893195914425,4763.410818607824
BAU,CanESM2,rcp45,MedHigh,0.001091107,2060,4733.735840409248,4697.12348682101,4758.72640827016
BAU,CanESM2,rcp45,MedHigh,0.001091107,2061,4756.45343999617,4721.564815848117,4779.736418650259
BAU,CanESM2,rcp45,MedHigh,0.001091107,2062,4749.059334168687,4715.2553882224865,4772.731537355821
BAU,CanESM2,rcp45,MedHigh,0.001091107,2063,4784.806187338953,4748.314956378213,4812.070707750478
BAU,CanESM2,rcp45,MedHigh,0.001091107,2064,4829.544003782845,4794.0133894260825,4854.748414566076
BAU,CanESM2,rcp45,MedHigh,0.001091107,2065,4843.187089611485,4811.270151130901,4869.385499078432
BAU,CanESM2,rcp45,MedHigh,0.001091107,2066,4887.429956912565,4856.354576923236,4914.980927545963
BAU,CanESM2,rcp45,MedHigh,0.001091107,2067,4895.286086152864,4863.292442641519,4924.341126345861
BAU,CanESM2,rcp45,MedHigh,0.001091107,2068,4919.999482711804,4891.112378564366,4951.755126477002
BAU,CanESM2,rcp45,MedHigh,0.001091107,2069,4843.771232984934,4812.018491183249,4876.263677304595
BAU,CanESM2,rcp45,MedHigh,0.001091107,2070,4882.740515193079,4853.505078363085,4913.69989931501
BAU,CanESM2,rcp45,MedHigh,0.001091107,2071,4892.730754373832,4867.780559252949,4926.055392088667
BAU,CanESM2,rcp45,MedHigh,0.001091107,2072,4832.1568734645325,4809.186360582334,4865.818779828811
BAU,CanESM2,rcp45,MedHigh,0.001091107,2073,4818.773482654374,4796.315520618511,4857.927891168211
BAU,CanESM2,rcp45,MedHigh,0.001091107,2074,4818.929205119835,4797.013398799466,4857.503426961987
BAU,CanESM2,rcp45,MedHigh,0.001091107,2075,4867.363291674756,4842.196817225832,4906.766278823072
BAU,CanESM2,rcp45,MedHigh,0.001091107,2076,4876.390660952577,4852.715972071862,4913.028954386299
BAU,CanESM2,rcp45,MedHigh,0.001091107,2077,4894.6036736757615,4870.330481683179,4928.200395289133
BAU,CanESM2,rcp45,MedHigh,0.001091107,2078,4976.190230865943,4950.678818078465,5009.851983574437
BAU,CanESM2,rcp45,MedHigh,0.001091107,2079,5003.330464639182,4976.633299848902,5043.828521894772
BAU,CanESM2,rcp45,MedHigh,0.001091107,2080,4947.177561761254,4919.592324030136,4989.712229503971
BAU,CanESM2,rcp45,MedHigh,0.001091107,2081,4961.09829019532,4931.273381526287,5005.457220957004
BAU,CanESM2,rcp45,MedHigh,0.001091107,2082,5013.553467182482,4980.129484537795,5061.542196126209
BAU,CanESM2,rcp45,MedHigh,0.001091107,2083,4948.190137749375,4912.2244897088085,4999.147969764233
BAU,CanESM2,rcp45,MedHigh,0.001091107,2084,4941.076746195227,4903.057955201856,4991.1394634271055
BAU,CanESM2,rcp45,MedHigh,0.001091107,2085,4984.32813711096,4944.562854001244,5032.619996211706
BAU,CanESM2,rcp45,MedHigh,0.001091107,2086,4968.050927157992,4928.254858029708,5017.74716717636
BAU,CanESM2,rcp45,MedHigh,0.001091107,2087,5032.563285668413,4992.011423469399,5082.026425054041
BAU,CanESM2,rcp45,MedHigh,0.001091107,2088,5034.76875171966,4996.60303155145,5090.294724141179
BAU,CanESM2,rcp45,MedHigh,0.001091107,2089,5022.9296536782595,4984.1261821776325,5078.4977540286345
BAU,CanESM2,rcp45,MedHigh,0.001091107,2090,4954.0446103395125,4917.516364675064,5006.046870514865
