GCM,RCP,Year,Mean,Mean5,Mean10,Variable
CanESM2-ES,rcp85,2052,793.2635058754881,785.9917865887982,794.4717109220044,Precipitation
CNRM-CM5,rcp45,2052,494.6713046137859,793.773979651199,740.8710097726713,Precipitation
CNRM-CM5,rcp85,2052,876.3876940004045,921.1665757014043,758.4923693499695,Precipitation
HadGEM2-ES,rcp45,2052,554.4083779805294,478.02428601532193,516.3979466984699,Precipitation
HadGEM2-ES,rcp85,2052,483.7368615959584,577.2099644515325,502.48862318497254,Precipitation
MIROC5,rcp45,2052,394.1061503494342,488.00592441798904,558.9143463617212,Precipitation
MIROC5,rcp85,2052,480.1609301131329,535.9458814536705,541.8387991539471,Precipitation
CanESM2-ES,rcp45,2053,711.0676931166373,747.8302874737831,665.5841804593645,Precipitation
CanESM2-ES,rcp85,2053,951.0337514584901,840.6546882445398,856.351954671814,Precipitation
CNRM-CM5,rcp45,2053,567.0972456271104,798.0240016319026,768.4823535809892,Precipitation
CNRM-CM5,rcp85,2053,1026.9757887156231,936.3775754571752,781.7757786457245,Precipitation
HadGEM2-ES,rcp45,2053,380.24288548571405,470.8254151612825,498.8331444139595,Precipitation
HadGEM2-ES,rcp85,2053,685.8095685193148,568.7141645244373,483.09410575183426,Precipitation
MIROC5,rcp45,2053,408.3714041830077,511.9470069260125,551.4125191577853,Precipitation
MIROC5,rcp85,2053,406.7435094997967,609.8330022460946,523.2136934910671,Precipitation
CanESM2-ES,rcp45,2054,916.4303120608804,728.2412833097225,672.1614913709467,Precipitation
CanESM2-ES,rcp85,2054,934.4257616395454,904.8774754635106,919.5757919356287,Precipitation
CNRM-CM5,rcp45,2054,1215.2125609540924,777.7288082811255,741.7264817148318,Precipitation
CNRM-CM5,rcp85,2054,1050.439905197384,901.8591828765096,782.7785066191711,Precipitation
HadGEM2-ES,rcp45,2054,395.74567511948493,483.0717999916625,510.252717334627,Precipitation
HadGEM2-ES,rcp85,2054,786.5489770376512,561.8167449021313,502.04178600545214,Precipitation
MIROC5,rcp45,2054,601.6763964617329,513.9237556471949,487.46780800424983,Precipitation
MIROC5,rcp85,2054,917.9596484225668,602.6950145990777,514.9577722083982,Precipitation
