GCM,RCP,Year,Mean,Mean5,Mean10,Variable
HadGEM2-ES,rcp45,2065,16.678758958108624,16.80577007030967,16.789302529660823,Mean Annual Temperature
HadGEM2-ES,rcp85,2065,18.753460076437783,18.518161557063873,18.401496537896353,Mean Annual Temperature
MIROC5,rcp45,2065,16.73708590639372,16.310717148493936,16.041927093115152,Mean Annual Temperature
MIROC5,rcp85,2065,17.027278776687307,16.955020380005394,16.831559940914083,Mean Annual Temperature
CanESM2-ES,rcp45,2066,16.75822977033623,16.492777610004097,16.623939752322187,Mean Annual Temperature
CanESM2-ES,rcp85,2066,17.887401068622598,17.99416599034176,17.946908774848787,Mean Annual Temperature
CNRM-CM5,rcp45,2066,15.656562350855301,16.22953174042509,16.20920512594286,Mean Annual Temperature
CNRM-CM5,rcp85,2066,17.934593044970956,17.25040349252136,17.440732578539542,Mean Annual Temperature
HadGEM2-ES,rcp45,2066,16.86586357793229,16.73847567366199,16.82062736441484,Mean Annual Temperature
HadGEM2-ES,rcp85,2066,17.751275927070804,18.595350894542513,18.41609022865947,Mean Annual Temperature
MIROC5,rcp45,2066,16.255862609214073,16.227134076840247,16.13763923730249,Mean Annual Temperature
MIROC5,rcp85,2066,16.482937486644566,16.967431657322916,16.898841358875273,Mean Annual Temperature
CanESM2-ES,rcp45,2067,16.481216210415198,16.68853666148988,16.674414248560034,Mean Annual Temperature
CanESM2-ES,rcp85,2067,17.806268787178787,17.812645362288272,17.973156070950473,Mean Annual Temperature
CNRM-CM5,rcp45,2067,16.629349324482085,16.20698596387495,16.24503557096477,Mean Annual Temperature
CNRM-CM5,rcp85,2067,17.030040442382703,17.289903887831922,17.4376081651353,Mean Annual Temperature
HadGEM2-ES,rcp45,2067,17.21407259504302,16.895431296146988,16.818498837602135,Mean Annual Temperature
HadGEM2-ES,rcp85,2067,18.99832494927171,18.393286559099757,18.447886485185773,Mean Annual Temperature
MIROC5,rcp45,2067,16.9773992446848,16.09051713298402,16.100592198398868,Mean Annual Temperature
MIROC5,rcp85,2067,17.425181309583365,16.929416504194762,17.001723283900166,Mean Annual Temperature
CanESM2-ES,rcp45,2068,16.201835865716415,16.704755424968027,16.671690768042723,Mean Annual Temperature
CanESM2-ES,rcp85,2068,18.22906355924844,17.79373871251402,18.182838406967498,Mean Annual Temperature
CNRM-CM5,rcp45,2068,16.261947111578067,16.148991183130956,16.255615987129694,Mean Annual Temperature
CNRM-CM5,rcp85,2068,17.372604217298843,17.433177007823353,17.425994394954124,Mean Annual Temperature
