GCM,RCP,CFE,CFERate,Timestep,Mean,Lower,Upper,Flux,Source
CanESM2,rcp85,Medium,8.18331e-4,2022,89.70787178149999,88.12545502369397,91.24712475856346,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2023,169.35561703040966,167.54938435988453,171.38708000353063,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2024,232.33168283900827,230.22943535602874,234.82045814831287,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2025,193.27008996007774,191.47491527463168,195.4792612850005,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2026,175.29001009175497,172.91350512972565,177.4443936048508,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2027,90.03510384429954,87.91119171925075,91.42557240347577,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2028,147.91454259976007,144.9650149294022,149.67860803623788,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2029,134.65572834432444,132.48116889672102,136.00334989396328,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2030,114.44018032865222,111.98204542709064,115.96105602264717,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2031,127.40455877983918,125.35394007421291,128.8869724911745,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2032,192.95295258821386,190.4443302110146,194.84727281928568,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2033,147.36592611628507,145.0653583719399,148.98098980476948,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2034,167.592976378008,165.62885412367677,169.03507586291764,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2035,158.11117822201447,156.4406108420771,159.57343721589467,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2036,188.50155751407573,186.97150089113194,189.98738339384005,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2037,95.46936552561884,94.30706336807913,96.4780314506703,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2038,160.42559346781889,159.23531769027977,161.53061891538138,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2039,176.125433948287,174.95140970193395,177.36697292178343,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2040,229.99886085646637,228.99351577111153,230.86764225860856,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2041,168.50892290140712,167.6117146305857,169.49828798012476,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2042,157.59312753459324,156.80425365515654,158.34139229130312,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2043,238.88532531370814,237.51525244508025,240.43337909109678,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2044,167.1082629343072,165.83574020203923,168.76601876533465,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2045,219.4079602169779,218.01417680908077,221.1352669337191,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2046,144.65995518907607,142.64853623705608,146.48879435471576,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2047,168.4801455303889,166.29467340044687,170.73150751018542,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2048,156.2046314459296,154.23255513857185,158.3214191544555,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2049,143.46783562303193,141.52471812118478,145.5425305383559,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2050,220.8054063816005,218.69097801413574,222.94896899289958,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2051,202.31199800952874,200.18313461024857,204.68074007861998,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2052,144.5583881909851,143.0289535977001,146.07101260718503,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2053,195.4983104855846,193.05386727452844,197.46145851843937,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2054,225.27183327134543,223.10396195835042,227.65610165467888,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2055,235.5031608268995,233.2151730613613,237.98278519960076,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2056,248.72701390623922,246.4039689266051,251.21206835512828,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2057,215.63530009766822,213.40663316541986,218.70364332261323,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2058,242.30089046328598,239.8260156128503,245.73924824212776,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2059,291.03191715944183,288.338084286509,295.30606014122503,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2060,264.3235994819328,261.89941700196886,267.8997182211475,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2061,136.06443352976757,134.77869293015328,137.550761939643,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2062,129.57444785026206,128.05535512133378,130.95965253031687,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2063,100.92583312961999,100.15792602040796,102.07279069024523,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2064,212.71205773999975,211.11453142634767,214.67198199381713,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2065,295.1925105429381,292.4497761321493,297.6483562089956,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2066,171.20930306154966,169.72239103590317,173.14261703522442,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2067,159.2904434909381,157.94982805781177,160.93966536672968,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2068,284.10119452194397,281.30256411994094,287.1100913312341,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2069,223.36858295800315,221.29634361139563,225.50428731283344,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2070,212.35383252280363,210.3949246308569,214.30640806652238,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2071,218.43147073577805,216.59734824593562,220.39420496103153,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2072,194.61727511319464,193.06325184707634,195.96853467227152,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2073,155.3658768502268,154.4562180697202,156.28946076543215,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2074,164.8428796219474,163.47321592253402,165.90635647524095,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2075,173.97967837481463,172.32332470313315,175.15961719243447,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2076,220.4039113214359,217.90431786803748,221.68024544468318,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2077,308.4931074421839,304.18036410375635,311.2500925456013,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2078,256.9433619173175,253.9573086779568,259.3538259677109,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2079,168.77363441358835,166.92421919285158,170.20616649534477,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2080,302.4305734986475,299.37358993421583,304.8754435964471,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2081,338.4284775316534,335.4203488590308,341.13276527562255,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2082,278.97917118432423,276.06505060579764,281.7068896177194,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2083,146.53259227174897,145.05729562211044,148.27907730486112,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2084,321.3309893730068,318.7089552359909,324.45427733497445,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2085,275.71582933791836,273.6288193695654,278.4784549750129,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2086,205.39967066794506,203.89845642136657,207.42093628135922,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2087,141.66404884300854,140.5351946862076,143.22568304887395,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2088,350.17380129550304,347.3507021684899,353.39550079827904,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2089,312.74845199166504,310.5365383365416,315.1837612483962,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2090,212.17192036309316,210.55401795889864,213.88428711894608,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2091,224.89896118252943,223.23728930642295,226.5944980919325,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2092,326.15980625826774,323.7433940546905,328.7333896054149,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2093,213.62328548042083,212.16003779036103,215.0786912192533,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2094,215.269666263031,213.65252465354425,216.5124943680877,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2095,246.13608250404127,244.46250584629524,247.569922970207,NPP,LUCAS CFE
