Timestep,Flux,Mean,Lower,Upper
2029,Emission (Fire),3,1.2,5.4
2029,Emission (Orchard Removal),2.2,0.9,3.8
2029,Emission (Urban),0.9,0.5,1.6
2029,Harvest (AgExpand),0.1,0,0.2
2029,Harvest (Clearcut),3.1,1.1,5.2
2029,Harvest (Grain),10.2,7.6,14.5
2029,Harvest (Straw),6.8,4.8,10.4
2029,Harvest (Thinning),0.7,0.2,1.1
2029,Harvest (Urban),0.1,0,0.2
2029,Leaching,2.2,2.1,2.3
2029,LULCC,37.5,28.5,49.8
2029,Mortality,11.6,8.8,14
2029,Mortality (Fire),1.7,0.6,3.1
2029,Mortality (Harvest),1.6,0.6,2.6
2029,Mortality (Insects),11.1,2.9,33.4
2029,NECB,-1.4,-44.5,48.8
2029,NEP,36.1,-13.8,91.5
2029,NPP,146.5,92.7,203.3
2029,Rh,110.4,98.1,117.9
2030,Emission (AgExpand),0.5,0.2,0.9
2030,Emission (Biomass),7.4,5.7,8.4
2030,Emission (Clearcut),0.4,0.1,0.6
2030,Emission (Fire),3.1,1.1,5.6
2030,Emission (Orchard Removal),2.2,0.9,3.8
2030,Emission (Urban),0.9,0.5,1.8
2030,Harvest (AgExpand),0.1,0,0.2
2030,Harvest (Clearcut),3.1,1.1,5.1
2030,Harvest (Grain),11.1,7.3,15.3
2030,Harvest (Straw),7.6,4.5,11
2030,Harvest (Thinning),0.7,0.2,1.1
2030,Harvest (Urban),0.1,0,0.2
2030,Leaching,2.2,2.1,2.3
2030,LULCC,39.3,30.1,49.9
2030,Mortality,11.6,9.4,13.5
2030,Mortality (Fire),1.7,0.7,2.9
2030,Mortality (Harvest),1.6,0.6,2.6
2030,Mortality (Insects),10,2.2,31.2
2030,NECB,8.2,-50.8,42.1
2030,NEP,47.6,-18.3,85.5
2030,NPP,160.4,100.1,207.1
2030,Rh,112.8,103.6,128
2031,Emission (AgExpand),0.5,0.2,0.9
2031,Emission (Biomass),7.3,5.7,8.5
2031,Emission (Clearcut),0.4,0.1,0.7
2031,Emission (Fire),3.3,1.4,5.6
2031,Emission (Orchard Removal),2.2,0.9,3.9
2031,Emission (Urban),0.9,0.5,1.7
2031,Harvest (AgExpand),0.1,0,0.2
2031,Harvest (Clearcut),3.2,1.2,5.2
2031,Harvest (Grain),10.5,7.8,14.5
