LUC,Timestep,LULC,Mean,Lower,Upper
BAU,2059,Agriculture,42562.875628140704,41950,43187.875
BAU,2059,Barren,19155,19155,19155
BAU,2059,Developed,33668.79974968711,32608.9,34664.2
BAU,2059,Forest,154158.265,153800,154501.02500000002
BAU,2059,Grassland,43485.675844806006,42760.9,44283.1
BAU,2059,Shrubland,109409.34,109094.925,109722.125
BAU,2059,SnowIce,28,28,28
BAU,2059,Water,18655,18655,18655
BAU,2059,Wetland,2688.30125,2607.975,2780.025
BAU,2060,Agriculture,42515.08625,41902,43128.049999999996
BAU,2060,Barren,19155,19155,19155
BAU,2060,Developed,33843.727386934675,32770.875,34864.375
BAU,2060,Forest,154118.31578947368,153759.7,154468.44999999998
BAU,2060,Grassland,43440.80701754386,42701,44247.3
BAU,2060,Shrubland,109369.013767209,109064.9,109693.34999999999
BAU,2060,SnowIce,28,28,28
BAU,2060,Water,18655,18655,18655
BAU,2060,Wetland,2689.3775,2606,2779.15
BAU,2061,Agriculture,42468.725,41849.9,43109
BAU,2061,Barren,19155,19155,19155
BAU,2061,Developed,34017.86875,32983.525,35028.2
BAU,2061,Forest,154076.95854271358,153705.75,154426.75
BAU,2061,Grassland,43393.95739348371,42663.95,44200.6
BAU,2061,Shrubland,109327.61375,109017,109639.15000000001
BAU,2061,SnowIce,28,28,28
BAU,2061,Water,18655,18655,18655
