LUC,GCM,RCP,Timestep,StockGroup,Ecosystem,Mean,Lower,Upper
BAU,CanESM2,rcp45,2053,Soil,No,46.5,42,50.8
BAU,CanESM2,rcp45,2053,Soil,Yes,2464.6,2456.1,2474
BAU,CanESM2,rcp45,2054,DOM,No,0.1,0.1,0.2
BAU,CanESM2,rcp45,2054,DOM,Yes,643.9,601.1,709.2
BAU,CanESM2,rcp45,2054,Live,No,1.4,1.2,1.6
BAU,CanESM2,rcp45,2054,Live,Yes,1312.1,1216.2,1379.1
BAU,CanESM2,rcp45,2054,Soil,No,47.4,43,51.5
BAU,CanESM2,rcp45,2054,Soil,Yes,2459,2450.7,2468.3
BAU,CanESM2,rcp45,2055,DOM,No,0.1,0.1,0.2
BAU,CanESM2,rcp45,2055,DOM,Yes,641.4,599.8,705.3
BAU,CanESM2,rcp45,2055,Live,No,1.4,1.2,1.6
BAU,CanESM2,rcp45,2055,Live,Yes,1358.3,1266.4,1429.5
BAU,CanESM2,rcp45,2055,Soil,No,48.3,43.5,52.1
BAU,CanESM2,rcp45,2055,Soil,Yes,2453.8,2445.4,2462.4
BAU,CanESM2,rcp45,2056,DOM,No,0.1,0.1,0.2
BAU,CanESM2,rcp45,2056,DOM,Yes,687.4,635.6,747.7
BAU,CanESM2,rcp45,2056,Live,No,1.5,1.2,1.6
BAU,CanESM2,rcp45,2056,Live,Yes,1353.8,1266.6,1424.7
BAU,CanESM2,rcp45,2056,Soil,No,49.1,44.2,53.3
BAU,CanESM2,rcp45,2056,Soil,Yes,2452.3,2444.1,2461.2
BAU,CanESM2,rcp45,2057,DOM,No,0.1,0.1,0.2
BAU,CanESM2,rcp45,2057,DOM,Yes,704.6,642.7,765.6
BAU,CanESM2,rcp45,2057,Live,No,1.5,1.3,1.6
BAU,CanESM2,rcp45,2057,Live,Yes,1295.3,1211.9,1376.4
BAU,CanESM2,rcp45,2057,Soil,No,50,45.3,53.9
BAU,CanESM2,rcp45,2057,Soil,Yes,2454.2,2446.7,2462.6
BAU,CanESM2,rcp45,2058,DOM,No,0.1,0.1,0.2
BAU,CanESM2,rcp45,2058,DOM,Yes,696.3,628.4,751.7
BAU,CanESM2,rcp45,2058,Live,No,1.5,1.3,1.7
BAU,CanESM2,rcp45,2058,Live,Yes,1309.5,1221.3,1394.5
BAU,CanESM2,rcp45,2058,Soil,No,50.9,45.9,55.2
BAU,CanESM2,rcp45,2058,Soil,Yes,2453.2,2444,2461.5
BAU,CanESM2,rcp45,2059,DOM,No,0.1,0.1,0.2
BAU,CanESM2,rcp45,2059,DOM,Yes,688.5,621.4,743.5
BAU,CanESM2,rcp45,2059,Live,No,1.5,1.3,1.7
BAU,CanESM2,rcp45,2059,Live,Yes,1268,1182.1,1351.5
BAU,CanESM2,rcp45,2059,Soil,No,51.7,46.3,56
BAU,CanESM2,rcp45,2059,Soil,Yes,2452.2,2441.8,2460.9
BAU,CanESM2,rcp45,2060,DOM,No,0.1,0.1,0.2
BAU,CanESM2,rcp45,2060,DOM,Yes,671.5,605.9,724.2
BAU,CanESM2,rcp45,2060,Live,No,1.6,1.3,1.7
BAU,CanESM2,rcp45,2060,Live,Yes,1274.1,1188.7,1358.4
BAU,CanESM2,rcp45,2060,Soil,No,52.5,47.2,56.6
BAU,CanESM2,rcp45,2060,Soil,Yes,2446.6,2436.2,2454.9
BAU,CanESM2,rcp45,2061,DOM,No,0.1,0.1,0.2
BAU,CanESM2,rcp45,2061,DOM,Yes,659.6,594.8,711.6
BAU,CanESM2,rcp45,2061,Live,No,1.6,1.4,1.7
BAU,CanESM2,rcp45,2061,Live,Yes,1303.1,1220.7,1387.8
BAU,CanESM2,rcp45,2061,Soil,No,53.4,47.8,57.3
BAU,CanESM2,rcp45,2061,Soil,Yes,2440.8,2430,2449.3
BAU,CanESM2,rcp45,2062,DOM,No,0.1,0.1,0.2
BAU,CanESM2,rcp45,2062,DOM,Yes,646.5,584.1,697.5
BAU,CanESM2,rcp45,2062,Live,No,1.6,1.4,1.8
BAU,CanESM2,rcp45,2062,Live,Yes,1306.2,1225.1,1389.6
BAU,CanESM2,rcp45,2062,Soil,No,54.3,48.3,57.9
BAU,CanESM2,rcp45,2062,Soil,Yes,2437.2,2426.7,2445.9
