LUC,GCM,RCP,EcoregionID,EcoregionName,Mean,Lower,Upper
Low,CNRM-CM5,rcp85,4,Cascades,-3.1,-4.1,-1.9
Low,CNRM-CM5,rcp85,5,Sierra Nevada,-38,-52.4,-25.7
Low,CNRM-CM5,rcp85,6,Oak Woodlands,32.6,8,59.4
Low,CNRM-CM5,rcp85,7,Central Valley,-7.6,-13.1,-0.5
Low,CNRM-CM5,rcp85,8,SoCal Mtns.,16.9,13.9,19.7
Low,CNRM-CM5,rcp85,9,East Cascades,-20.5,-25.4,-15.5
Low,CNRM-CM5,rcp85,13,Central B&R,9.5,8.2,10.6
Low,CNRM-CM5,rcp85,14,Mojave B&R,19.5,18.4,20.5
Low,CNRM-CM5,rcp85,78,Klamath Mtns.,-2.1,-16.2,14.5
Low,CNRM-CM5,rcp85,80,Northern B&R,-1.7,-2.1,-1.2
Low,CNRM-CM5,rcp85,81,Sonoran B&R,2.2,1.5,3
Low,HadGEM2-ES,rcp45,1,Coast Range,-16.8,-28.1,-2.9
Low,HadGEM2-ES,rcp45,4,Cascades,-7.1,-8.5,-6
Low,HadGEM2-ES,rcp45,5,Sierra Nevada,-116,-129.7,-102.7
Low,HadGEM2-ES,rcp45,6,Oak Woodlands,-78,-86.6,-68.3
Low,HadGEM2-ES,rcp45,7,Central Valley,-37.3,-42.7,-32.1
Low,HadGEM2-ES,rcp45,8,SoCal Mtns.,-14,-16.3,-11.8
Low,HadGEM2-ES,rcp45,9,East Cascades,-69.8,-73.7,-65.7
Low,HadGEM2-ES,rcp45,13,Central B&R,-4.7,-5.8,-3.5
Low,HadGEM2-ES,rcp45,14,Mojave B&R,-17.5,-18,-17
Low,HadGEM2-ES,rcp45,78,Klamath Mtns.,-69.2,-87.1,-49.2
Low,HadGEM2-ES,rcp45,80,Northern B&R,-7.6,-7.9,-7.2
Low,HadGEM2-ES,rcp45,81,Sonoran B&R,-9,-9.6,-8.5
Low,HadGEM2-ES,rcp85,1,Coast Range,-37.8,-47.9,-25.4
Low,HadGEM2-ES,rcp85,4,Cascades,-7,-8.1,-6.1
Low,HadGEM2-ES,rcp85,5,Sierra Nevada,-138.7,-149.9,-125.3
Low,HadGEM2-ES,rcp85,6,Oak Woodlands,-175.3,-187.3,-164.5
Low,HadGEM2-ES,rcp85,7,Central Valley,-73.1,-77.6,-67.2
Low,HadGEM2-ES,rcp85,8,SoCal Mtns.,-33.1,-35.9,-30.6
Low,HadGEM2-ES,rcp85,9,East Cascades,-81.9,-85.3,-78.8
Low,HadGEM2-ES,rcp85,13,Central B&R,-12.2,-12.7,-11.6
Low,HadGEM2-ES,rcp85,14,Mojave B&R,-47.2,-47.8,-46.5
Low,HadGEM2-ES,rcp85,78,Klamath Mtns.,-89.8,-106.2,-72.1
Low,HadGEM2-ES,rcp85,80,Northern B&R,-10.2,-10.6,-9.7
Low,HadGEM2-ES,rcp85,81,Sonoran B&R,-16.7,-17.2,-16.3
Low,MIROC5,rcp45,1,Coast Range,-14.7,-23.5,-5.9
Low,MIROC5,rcp45,4,Cascades,-5.7,-7,-4.6
Low,MIROC5,rcp45,5,Sierra Nevada,-119.5,-129.6,-110.9
Low,MIROC5,rcp45,6,Oak Woodlands,-153.2,-161,-145.5
