Timestep,StockGroup,Ecosystem,Mean,Lower,Upper
2076,Soil,Yes,2390.1,2166.8,2650.1
2077,DOM,No,0.2,0.1,0.2
2077,DOM,Yes,563.3,466.8,735.9
2077,Live,No,1.6,1,2.3
2077,Live,Yes,1380.8,1010,1639.5
2077,Soil,No,56.5,35.3,73.2
2077,Soil,Yes,2383.6,2157.6,2648.2
2078,DOM,No,0.2,0.1,0.2
2078,DOM,Yes,563.4,464.3,721.2
2078,Live,No,1.6,1,2.3
2078,Live,Yes,1388,1022.5,1640.2
2078,Soil,No,57,35.4,74.2
2078,Soil,Yes,2379.1,2150,2647.3
2079,DOM,No,0.2,0.1,0.2
2079,DOM,Yes,557.7,456.1,703.6
2079,Live,No,1.7,1,2.3
2079,Live,Yes,1383.4,1071.4,1631.3
2079,Soil,No,57.5,35.5,75.1
2079,Soil,Yes,2374.5,2141.4,2643.5
2080,DOM,No,0.2,0.1,0.2
2080,DOM,Yes,555.1,456.1,691
2080,Live,No,1.7,1,2.4
2080,Live,Yes,1386.2,1061.5,1648.5
2080,Soil,No,57.9,35.6,76.1
2080,Soil,Yes,2368.8,2135.5,2639.6
2081,DOM,No,0.2,0.1,0.2
2081,DOM,Yes,545.2,445,678.3
2081,Live,No,1.7,1,2.4
2081,Live,Yes,1383.1,1043.1,1682.3
2081,Soil,No,58.4,35.7,76.9
2081,Soil,Yes,2363.7,2125.9,2637.2
2082,DOM,No,0.2,0.1,0.2
2082,DOM,Yes,538.9,444.2,657.6
2082,Live,No,1.7,1,2.4
2082,Live,Yes,1398.4,1029,1701.1
2082,Soil,No,58.9,35.9,78
2082,Soil,Yes,2357.4,2114.7,2634.9
2083,DOM,No,0.2,0.1,0.2
2083,DOM,Yes,535.8,436.8,648.7
2083,Live,No,1.7,1,2.4
2083,Live,Yes,1390.4,1039.7,1652.3
2083,Soil,No,59.3,36,79
2083,Soil,Yes,2351.8,2101.6,2631.3
2084,DOM,No,0.2,0.1,0.2
2084,DOM,Yes,531.2,438.2,641
2084,Live,No,1.7,1,2.5
2084,Live,Yes,1391.2,1061.8,1712.6
2084,Soil,No,59.7,36,79.9
2084,Soil,Yes,2345.5,2088.6,2627.8
2085,DOM,No,0.2,0.1,0.2
2085,DOM,Yes,536.7,438.7,648.8
2085,Live,No,1.7,1,2.5
2085,Live,Yes,1385.2,1073.3,1731.6
2085,Soil,No,60.2,36.1,80.7
2085,Soil,Yes,2339.3,2076.9,2626.8
2086,DOM,No,0.2,0.1,0.2
2086,DOM,Yes,536.8,429.3,658.4
2086,Live,No,1.7,1,2.5
2086,Live,Yes,1379.6,1074.9,1707.5
2086,Soil,No,60.6,36.3,81.8
2086,Soil,Yes,2333.5,2069.2,2621.9
2087,DOM,No,0.2,0.1,0.2
2087,DOM,Yes,543.2,419.2,665.7
2087,Live,No,1.7,1,2.5
2087,Live,Yes,1386.6,1039.4,1666.1
2087,Soil,No,61,36.4,82.8
2087,Soil,Yes,2326.8,2061.3,2617.3
2088,DOM,No,0.2,0.1,0.2
2088,DOM,Yes,542.4,426.2,661
2088,Live,No,1.8,1.1,2.6
2088,Live,Yes,1399.2,1084.6,1745
2088,Soil,No,61.5,36.5,83.8
2088,Soil,Yes,2321.8,2055.8,2616.7
2089,DOM,No,0.2,0.1,0.2
2089,DOM,Yes,541.2,437.5,656.8
2089,Live,No,1.8,1.1,2.6
2089,Live,Yes,1417,1076.2,1782.5
2089,Soil,No,61.9,36.5,84.6
2089,Soil,Yes,2318,2045.5,2613.2
2090,DOM,No,0.2,0.1,0.2
2090,DOM,Yes,537.9,437,651.3
2090,Live,No,1.8,1.1,2.6
2090,Live,Yes,1413.5,1067.3,1753.8
2090,Soil,No,62.3,36.7,85.4
2090,Soil,Yes,2315.5,2039.9,2610
2091,DOM,No,0.2,0.1,0.2
2091,DOM,Yes,532.4,440,638.7
2091,Live,No,1.8,1.1,2.7
2091,Live,Yes,1402.3,1080.8,1749.7
2091,Soil,No,62.7,36.8,86.5
2091,Soil,Yes,2311.8,2035.6,2608
2092,DOM,No,0.2,0.1,0.2
2092,DOM,Yes,523.7,436.3,628.1
2092,Live,No,1.8,1.1,2.7
2092,Live,Yes,1393.7,1055.5,1797.4
2092,Soil,No,63.2,36.8,87.3
2092,Soil,Yes,2306.6,2029.5,2603.3
2093,DOM,No,0.2,0.1,0.2
2093,DOM,Yes,519.2,425.7,617
2093,Live,No,1.8,1.1,2.7
2093,Live,Yes,1386,1046.8,1765.4
2093,Soil,No,63.6,36.9,88.3
2093,Soil,Yes,2300.6,2020.2,2598.3
2094,DOM,No,0.2,0.1,0.2
2094,DOM,Yes,520.5,426.1,618.4
2094,Live,No,1.8,1.1,2.7
2094,Live,Yes,1389.6,1068,1743.3
2094,Soil,No,64,37,89.2
2094,Soil,Yes,2293.7,2010.4,2591
2095,DOM,No,0.2,0.1,0.2
2095,DOM,Yes,524.3,427.5,630.2
2095,Live,No,1.8,1.1,2.8
2095,Live,Yes,1385.6,1028.9,1754.4
2095,Soil,No,64.4,37.1,90.1
2095,Soil,Yes,2287.7,1998.9,2589
2096,DOM,No,0.2,0.1,0.2
2096,DOM,Yes,541,426.3,656.6
2096,Live,No,1.9,1.1,2.8
2096,Live,Yes,1338,1001.7,1674.5
2096,Soil,No,64.8,37.2,91.2
2096,Soil,Yes,2282.2,1989,2590.8
2097,DOM,No,0.2,0.1,0.2
2097,DOM,Yes,543.6,425.7,686.6
2097,Live,No,1.9,1.1,2.8
2097,Live,Yes,1346.1,980.7,1679.7
2097,Soil,No,65.2,37.3,92
2097,Soil,Yes,2274.7,1980.9,2590.1
2098,DOM,No,0.2,0.1,0.2
2098,DOM,Yes,543,423,709.5
2098,Live,No,1.9,1.1,2.8
2098,Live,Yes,1357.5,966.6,1694.9
2098,Soil,No,65.6,37.4,92.9
2098,Soil,Yes,2268.8,1974.6,2588.7
