LUC,Timestep,TransitionGroup,GroupType,Mean,Lower,Upper,Min,Max
BAU,2006,FIRE: Grassland High Severity [Type],Type,33.23875,23,44,16,51
BAU,2006,FIRE: Grassland Low Severity [Type],Type,218.0475,201,234.02999999999997,192,240
BAU,2006,FIRE: Grassland Medium Severity [Type],Type,73.35625,61,86,56,105
BAU,2006,FIRE: High Severity,Group,283.35625,253,313,233,328
BAU,2006,FIRE: Low Severity,Group,1877.51125,1828.975,1924.03,1809,1946
BAU,2006,FIRE: Medium Severity,Group,639.26875,597.975,683,572,713
BAU,2006,FIRE: Shrubland,Group,532.6425,531,534,529,535
BAU,2006,FIRE: Shrubland High Severity [Type],Type,54.24125,40.975,67,33,81
BAU,2006,FIRE: Shrubland Low Severity [Type],Type,356.5625,337.97499999999997,377,318,393
BAU,2006,FIRE: Shrubland Medium Severity [Type],Type,121.83875,103,141,90,156
BAU,2006,HARVEST,Group,812.77375,759.975,863.03,733,906
BAU,2006,INSECTS,Group,1454.91,1443,1465,1436,1469
BAU,2006,INSECTS: High Severity [Type],Type,16.9,16,17,15,17
BAU,2006,INSECTS: Low Severity [Type],Type,1429.10375,1418,1439,1410,1443
BAU,2006,INSECTS: Medium Severity [Type],Type,8.90625,8,9,7,9
BAU,2006,MANAGEMENT: Forest Clearcut [Type],Type,422.7925,381,462,356,476
BAU,2006,MANAGEMENT: Forest Thinning [Type],Type,389.98125,348.975,433,325,454
BAU,2006,MANAGEMENT: Orchard Removal [Type],Type,12.5775,3,25,1,32
BAU,2006,URBANIZATION,Group,226.90875,196.975,251,178,266
BAU,2006,URBANIZATION: Annual->Developed [Type],Type,60.55625,47,75,36,85
BAU,2006,URBANIZATION: Forest->Developed [Type],Type,26.5375,17,37,14,41
BAU,2006,URBANIZATION: Grassland->Developed [Type],Type,67.9325,53,82,45,88
BAU,2006,URBANIZATION: Perennial->Developed [Type],Type,27.425,18,37,14,48
BAU,2006,URBANIZATION: Shrubland->Developed [Type],Type,40.49625,28.975,53,22,57
BAU,2006,URBANIZATION: Wetland->Developed [Type],Type,4.031806615776081,1,8,1,11
BAU,2007,AGRICULTURAL CHANGE,Group,99.04875,50,154.02999999999997,44,173
BAU,2007,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,98.76375,50,154,44,173
BAU,2007,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,1.1692307692307693,1,2,1,3
BAU,2007,AGRICULTURAL CONTRACTION,Group,258.0775,228,287.03,213,309
BAU,2007,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,31.06875,21,41.02999999999997,17,48
BAU,2007,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,176.13125,153.975,199,135,221
BAU,2007,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,33.7925,23,44.02999999999997,18,48
BAU,2007,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,16.79875,10,24,5,36
BAU,2007,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,1,1,1,1,1
BAU,2007,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,1.1757575757575758,1,2,1,3
BAU,2007,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,1,1,1,1,1
BAU,2007,AGRICULTURAL EXPANSION,Group,188.295,163,214,148,233
BAU,2007,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,12.5175,6,20,4,28
BAU,2007,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,12.5375,6,19,3,24
BAU,2007,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,53.0125,39.975,67,33,74
BAU,2007,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,54.5775,41,70,36,76
BAU,2007,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,21.13375,12.975000000000001,30,6,35
BAU,2007,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,20.80625,12,29,9,38
BAU,2007,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,7.00375,2,13,1,16
BAU,2007,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,6.70625,2,12,1,17
BAU,2007,FIRE,Group,3916.195,3904,3926,3897,3929
BAU,2007,FIRE: Forest,Group,2615.6125,2610,2619,2606,2621
BAU,2007,FIRE: Forest High Severity [Type],Type,266.365,236,294,216,310
BAU,2007,FIRE: Forest Low Severity [Type],Type,1751.61875,1703,1798,1680,1831
BAU,2007,FIRE: Forest Medium Severity [Type],Type,597.62875,551,634,539,652
BAU,2007,FIRE: Grassland,Group,314.65,311,318,309,321
BAU,2007,FIRE: Grassland High Severity [Type],Type,32.12125,23,42,17,52
BAU,2007,FIRE: Grassland Low Severity [Type],Type,211.1175,195,226,185,233
BAU,2007,FIRE: Grassland Medium Severity [Type],Type,71.41125,58.975,87,54,94
BAU,2007,FIRE: High Severity,Group,398.24875,362,438,344,446
BAU,2007,FIRE: Low Severity,Group,2623.2606516290725,2563,2678,2531,2704
BAU,2007,FIRE: Medium Severity,Group,894.735,842,943.1799999999998,816,963
BAU,2007,FIRE: Shrubland,Group,985.9325,978,993,974,996
BAU,2007,FIRE: Shrubland High Severity [Type],Type,99.7625,83,117.02999999999997,77,123
BAU,2007,FIRE: Shrubland Low Severity [Type],Type,660.475,630.975,690,613,707
BAU,2007,FIRE: Shrubland Medium Severity [Type],Type,225.695,202,250,181,269
BAU,2007,HARVEST,Group,798.01375,741.95,852,714,870
BAU,2007,INSECTS,Group,1044.7925,1034,1056,1027,1060
BAU,2007,INSECTS: High Severity [Type],Type,43.6375,42,44,41,44
BAU,2007,INSECTS: Low Severity [Type],Type,952.61875,942,963,935,966
BAU,2007,INSECTS: Medium Severity [Type],Type,48.53625,46,51,43,51
BAU,2007,MANAGEMENT: Forest Clearcut [Type],Type,416.68,377.925,454,340,503
BAU,2007,MANAGEMENT: Forest Thinning [Type],Type,381.33375,344,416.03,331,440
BAU,2007,MANAGEMENT: Orchard Removal [Type],Type,20.22,7,37,5,45
BAU,2007,URBANIZATION,Group,163.28,141,188,129,197
BAU,2007,URBANIZATION: Annual->Developed [Type],Type,42.86625,30,55,21,69
