LUC,GCM,RCP,Flow,FlowPrimary,FromStock,Mean,Lower,Upper
High,CanESM2,rcp85,Leaching,Leaching,Soil,18510.8,18510.8,18510.8
High,CanESM2,rcp85,Litterfall,Litterfall,Living Biomass,906554.6,906554.6,906554.6
High,CanESM2,rcp85,Mortality,Mortality,Living Biomass,104582.8,104582.8,104582.8
High,CanESM2,rcp85,Mortality (insects high),Mortality,Living Biomass,63912.9,63912.9,63912.9
High,CanESM2,rcp85,Mortality (insects low),Mortality,Living Biomass,30575.6,30575.6,30575.6
High,CanESM2,rcp85,Mortality (insects medium),Mortality,Living Biomass,13351.8,13351.8,13351.8
High,CNRM-CM5,rcp45,Deadfall,Deadfall,Standing Dead,170109.1,170109.1,170109.1
High,CNRM-CM5,rcp45,Decay,Decay,Down Dead,172591.5,172591.5,172591.5
High,CNRM-CM5,rcp45,Decomposition,Decomposition,Litter,545984.4,545984.4,545984.4
High,CNRM-CM5,rcp45,Emission,Emission,Living Biomass,84267.9,84267.9,84267.9
High,CNRM-CM5,rcp45,Emission (biomass),Emission,Living Biomass,64149.2,64149.2,64149.2
High,CNRM-CM5,rcp45,Emission (litter),Emission,Litter,516515.9,516515.9,516515.9
High,CNRM-CM5,rcp45,Emission (soil),Emission,Soil,518861.6,518861.6,518861.6
High,CNRM-CM5,rcp45,Growth,Growth,Atmosphere,1391664.6,1391664.6,1391664.6
High,CNRM-CM5,rcp45,Harvest,Harvest,Living Biomass,42570.1,42570.1,42570.1
High,CNRM-CM5,rcp45,Harvest (grain),Harvest,Living Biomass,97665.1,97665.1,97665.1
High,CNRM-CM5,rcp45,Harvest (straw),Harvest,Living Biomass,61765.2,61765.2,61765.2
High,CNRM-CM5,rcp45,Leaching,Leaching,Soil,19535.8,19535.8,19535.8
High,CNRM-CM5,rcp45,Litterfall,Litterfall,Living Biomass,903064.3,903064.3,903064.3
High,CNRM-CM5,rcp45,Mortality,Mortality,Living Biomass,107618,107618,107618
High,CNRM-CM5,rcp45,Mortality (insects high),Mortality,Living Biomass,52016,52016,52016
High,CNRM-CM5,rcp45,Mortality (insects low),Mortality,Living Biomass,32829.9,32829.9,32829.9
High,CNRM-CM5,rcp45,Mortality (insects medium),Mortality,Living Biomass,11458.9,11458.9,11458.9
High,CNRM-CM5,rcp85,Deadfall,Deadfall,Standing Dead,172186.8,172186.8,172186.8
High,CNRM-CM5,rcp85,Decay,Decay,Down Dead,174739.4,174739.4,174739.4
High,CNRM-CM5,rcp85,Decomposition,Decomposition,Litter,542658.2,542658.2,542658.2
High,CNRM-CM5,rcp85,Emission,Emission,Living Biomass,79695.7,79695.7,79695.7
High,CNRM-CM5,rcp85,Emission (biomass),Emission,Living Biomass,63967.8,63967.8,63967.8
High,CNRM-CM5,rcp85,Emission (litter),Emission,Litter,528102.8,528102.8,528102.8
High,CNRM-CM5,rcp85,Emission (soil),Emission,Soil,533309.3,533309.3,533309.3
High,CNRM-CM5,rcp85,Growth,Growth,Atmosphere,1399574,1399574,1399574
High,CNRM-CM5,rcp85,Harvest,Harvest,Living Biomass,42720.2,42720.2,42720.2
High,CNRM-CM5,rcp85,Harvest (grain),Harvest,Living Biomass,96193.2,96193.2,96193.2
High,CNRM-CM5,rcp85,Harvest (straw),Harvest,Living Biomass,60599,60599,60599
High,CNRM-CM5,rcp85,Leaching,Leaching,Soil,19135,19135,19135
High,CNRM-CM5,rcp85,Litterfall,Litterfall,Living Biomass,901462.7,901462.7,901462.7
High,CNRM-CM5,rcp85,Mortality,Mortality,Living Biomass,107113.3,107113.3,107113.3
High,CNRM-CM5,rcp85,Mortality (insects high),Mortality,Living Biomass,55890.2,55890.2,55890.2
High,CNRM-CM5,rcp85,Mortality (insects low),Mortality,Living Biomass,32803.5,32803.5,32803.5
High,CNRM-CM5,rcp85,Mortality (insects medium),Mortality,Living Biomass,12234.2,12234.2,12234.2
High,HadGEM2-ES,rcp45,Deadfall,Deadfall,Standing Dead,160835.8,160835.8,160835.8
High,HadGEM2-ES,rcp45,Decay,Decay,Down Dead,162430.9,162430.9,162430.9
High,HadGEM2-ES,rcp45,Decomposition,Decomposition,Litter,476280.7,476280.7,476280.7
High,HadGEM2-ES,rcp45,Emission,Emission,Living Biomass,74763.4,74763.4,74763.4
High,HadGEM2-ES,rcp45,Emission (biomass),Emission,Living Biomass,55470.5,55470.5,55470.5
