LUC,GCM,RCP,Timestep,Ecosystem,Mean,Lower,Upper
BAU,CanESM2,rcp85,2066,No,60,54.5,66.4
BAU,CanESM2,rcp85,2066,Yes,4506.6,4439.5,4586.6
BAU,CanESM2,rcp85,2067,No,61,55.7,67.7
BAU,CanESM2,rcp85,2067,Yes,4458.8,4391.1,4538.6
BAU,CanESM2,rcp85,2068,No,62,57.2,68.4
BAU,CanESM2,rcp85,2068,Yes,4524,4456.1,4603.5
BAU,CanESM2,rcp85,2069,No,62.9,58.4,69.7
BAU,CanESM2,rcp85,2069,Yes,4518.2,4450.2,4600.5
BAU,CanESM2,rcp85,2070,No,63.8,59.3,70.6
BAU,CanESM2,rcp85,2070,Yes,4509,4440.7,4590.3
BAU,CanESM2,rcp85,2071,No,64.7,60.2,71.8
BAU,CanESM2,rcp85,2071,Yes,4506.6,4437.8,4587.6
BAU,CanESM2,rcp85,2072,No,65.7,60.9,72.4
BAU,CanESM2,rcp85,2072,Yes,4486,4417.2,4566
BAU,CanESM2,rcp85,2073,No,66.6,61.9,73.4
BAU,CanESM2,rcp85,2073,Yes,4437.1,4365.4,4518.3
BAU,CanESM2,rcp85,2074,No,67.5,62.8,74.2
BAU,CanESM2,rcp85,2074,Yes,4411.3,4338.1,4491
BAU,CanESM2,rcp85,2075,No,68.4,64.1,74.8
BAU,CanESM2,rcp85,2075,Yes,4380.1,4307.1,4458.1
BAU,CanESM2,rcp85,2076,No,69.4,64.7,75.9
BAU,CanESM2,rcp85,2076,Yes,4381.1,4309.6,4459.4
BAU,CanESM2,rcp85,2077,No,70.3,65.4,77.1
BAU,CanESM2,rcp85,2077,Yes,4437.7,4368,4516.2
BAU,CanESM2,rcp85,2078,No,71.2,65.9,77.9
BAU,CanESM2,rcp85,2078,Yes,4442.4,4372.1,4519.9
BAU,CanESM2,rcp85,2079,No,72.1,66.8,78.7
BAU,CanESM2,rcp85,2079,Yes,4391.2,4321.6,4469.1
BAU,CanESM2,rcp85,2080,No,73.1,68,79.8
BAU,CanESM2,rcp85,2080,Yes,4450.3,4380.7,4532.9
BAU,CanESM2,rcp85,2081,No,74,69,80.7
BAU,CanESM2,rcp85,2081,Yes,4506.3,4436.8,4589.9
BAU,CanESM2,rcp85,2082,No,75,70.2,81.3
BAU,CanESM2,rcp85,2082,Yes,4525.2,4455.6,4608.3
BAU,CanESM2,rcp85,2083,No,75.9,70.7,82.2
BAU,CanESM2,rcp85,2083,Yes,4450,4381.2,4535.4
BAU,CanESM2,rcp85,2084,No,76.8,71.2,83.4
BAU,CanESM2,rcp85,2084,Yes,4505.5,4436.6,4590
BAU,CanESM2,rcp85,2085,No,77.8,72.7,84.1
BAU,CanESM2,rcp85,2085,Yes,4522,4454.9,4605
BAU,CanESM2,rcp85,2086,No,78.7,73.5,85.1
BAU,CanESM2,rcp85,2086,Yes,4482.6,4414.1,4566.1
BAU,CanESM2,rcp85,2087,No,79.7,74.1,85.9
BAU,CanESM2,rcp85,2087,Yes,4410.5,4341.9,4492.2
BAU,CanESM2,rcp85,2088,No,80.6,75.1,86.9
BAU,CanESM2,rcp85,2088,Yes,4476.1,4410.5,4555
BAU,CanESM2,rcp85,2089,No,81.5,75.6,87.5
BAU,CanESM2,rcp85,2089,Yes,4508.2,4439.6,4582.4
BAU,CanESM2,rcp85,2090,No,82.5,76.7,88.7
BAU,CanESM2,rcp85,2090,Yes,4470.9,4400.3,4543.6
BAU,CanESM2,rcp85,2091,No,83.4,77.6,89.6
BAU,CanESM2,rcp85,2091,Yes,4458.3,4384.8,4532.2
BAU,CanESM2,rcp85,2092,No,84.3,78.3,90.8
BAU,CanESM2,rcp85,2092,Yes,4503.8,4431.5,4572.6
BAU,CanESM2,rcp85,2093,No,85.3,78.9,92.6
BAU,CanESM2,rcp85,2093,Yes,4456.4,4384.9,4525.6
BAU,CanESM2,rcp85,2094,No,86.2,79.4,93.5
BAU,CanESM2,rcp85,2094,Yes,4419.2,4348.8,4491
BAU,CanESM2,rcp85,2095,No,87.1,80.2,94.4
BAU,CanESM2,rcp85,2095,Yes,4413.7,4342.9,4487.3
BAU,CanESM2,rcp85,2096,No,88,81.7,94.9
BAU,CanESM2,rcp85,2096,Yes,4315.8,4244.6,4391.7
BAU,CanESM2,rcp85,2097,No,88.9,82.7,96
BAU,CanESM2,rcp85,2097,Yes,4299.9,4229.4,4375
BAU,CanESM2,rcp85,2098,No,89.8,83.5,96.4
BAU,CanESM2,rcp85,2098,Yes,4310.7,4240.5,4384.2
BAU,CanESM2,rcp85,2099,No,90.8,84.4,97.2
BAU,CanESM2,rcp85,2099,Yes,4330.1,4262.9,4401.9
BAU,CanESM2,rcp85,2100,No,91.7,85.4,98
BAU,CanESM2,rcp85,2100,Yes,4342.1,4276.4,4417.6
BAU,CanESM2,rcp85,2101,No,92.6,86.2,98.7
BAU,CanESM2,rcp85,2101,Yes,4354.9,4292.2,4429.2
BAU,CNRM-CM5,rcp45,2001,No,0,0,0
BAU,CNRM-CM5,rcp45,2001,Yes,4823.1,4823.1,4823.1
BAU,CNRM-CM5,rcp45,2002,No,1.9,1.6,2.1
BAU,CNRM-CM5,rcp45,2002,Yes,4793.9,4793.5,4794.6
